Sport,Discipline,Code,Sports Governing Body,2000,2004,2008,2012,2016,2020,2024
Aquatics,Artistic Swimming,SWA,World Aquatics,2,2,2,2,2,2,2
Aquatics,Diving,DIV,World Aquatics,8,8,8,8,8,8,8
Aquatics,Marathon Swimming,OWS,World Aquatics,0,0,2,2,2,2,2
Aquatics,Swimming,SWM,World Aquatics,32,32,32,32,32,35,35
Aquatics,Water Polo,WPO,World Aquatics,2,2,2,2,2,2,2
Archery,Archery,ARC,World Archery,4,4,4,4,4,5,5
Athletics,Athletics,ATH,World Athletics,46,46,47,47,47,48,48
Badminton,Badminton,BDM,BWF,5,5,5,5,5,5,5
Baseball and Softball,Baseball,BSB,WBSC[s1],1,1,1,0,0,1,0
Baseball and Softball,Softball,SBL,WBSC[s1],1,1,1,0,0,1,0
Basketball,3x3,BK3,FIBA,0,0,0,0,0,2,2
Basketball,Basketball,BKB,FIBA,2,2,2,2,2,2,2
Basque Pelota,Basque Pelota,PEL,FIPV,0,0,0,0,0,0,0
Canoeing,Sprint,CSP,ICF,12,12,12,12,12,12,10
Canoeing,Slalom,CSL,ICF,4,4,4,4,4,4,6
Cycling,BMX Freestyle,BMF,UCI,0,0,0,0,0,2,2
Cycling,BMX Racing,BMX,UCI,0,0,2,2,2,2,2
Cycling,Mountain Bike,MTB,UCI,2,2,2,2,2,2,2
Cycling,Road,CRD,UCI,4,4,4,4,4,4,4
Cycling,Track,CTR,UCI,12,12,10,10,10,12,12
Equestrian,Dressage,EDR,FEI,2,2,2,2,2,2,2
Equestrian,Eventing,EVE,FEI,2,2,2,2,2,2,2
Equestrian,Jumping,EJP,FEI,2,2,2,2,2,2,2
Equestrian,Vaulting,EVL,FEI,0,0,0,0,0,0,0
Equestrian,Driving,EDV,FEI,0,0,0,0,0,0,0
Fencing,Fencing,FEN,FIE,10,10,10,10,10,12,12
Field hockey,Field hockey,HOC,FIH,2,2,2,2,2,2,2
Flag football,Flag football,AFB,IFAF,0,0,0,0,0,0,0
Football,Football,FBL,FIFA,2,2,2,2,2,2,2
Golf,Golf,GLF,IGF,0,0,0,0,2,2,2
Gymnastics,Artistic,GAR,FIG,14,14,14,14,14,14,14
Gymnastics,Rhythmic,GRY,FIG,2,2,2,2,2,2,2
Gymnastics,Trampoline,GTR,FIG,2,2,2,2,2,2,2
Handball,Indoor,HBL,IHF,2,2,2,2,2,2,2
Handball,Field,HBL,IHF,0,0,0,0,0,0,0
Jeu de Paume,Jeu de Paume,,,0,0,0,0,0,0,0
Judo,Judo,JUD,IJF,14,14,14,14,14,15,15
Karate,Karate,KTE,WKF,0,0,0,0,0,8,0
Modern Pentathlon,Modern Pentathlon,MPN,UIPM,2,2,2,2,2,2,2
Polo,Polo,POL,FIP,0,0,0,0,0,0,0
Rackets,Rackets,RQT,,0,0,0,0,0,0,0
Roque,Roque,,,0,0,0,0,0,0,0
Rowing,Coastal,ROC,World Rowing,0,0,0,0,0,0,0
Rowing,Rowing,ROW,World Rowing,14,14,14,14,14,14,14
Rugby,Sevens,RU7,World Rugby,0,0,0,0,2,2,2
Rugby,Union,RUG,World Rugby,0,0,0,0,0,0,0
Sailing,Sailing,SAL,World Sailing,11,11,11,10,10,10,10
Shooting,Shooting,SHO,ISSF,17,17,15,15,15,15,15
Skateboarding,Skateboarding,SKB,World Skate[s4],0,0,0,0,0,4,4
Sport Climbing,Sport Climbing,CLB,IFSC,0,0,0,0,0,2,4
Surfing,Surfing,SRF,ISA,0,0,0,0,0,2,2
Table Tennis,Table Tennis,TTE,ITTF,4,4,4,4,4,5,5
Taekwondo,Taekwondo,TKW,World Taekwondo,8,8,8,8,8,8,8
Tennis,Tennis,TEN,ITF,4,4,4,5,5,5,5
Triathlon,Triathlon,TRI,World Triathlon,2,2,2,2,2,3,3
Tug of War,Tug of War,TOW,TWIF,0,0,0,0,0,0,0
Volleyball,Beach,VBV,FIVB,2,2,2,2,2,2,2
Volleyball,Indoor,VVO,FIVB,2,2,2,2,2,2,2
Wrestling,Freestyle,WRF,UWW,8,11,11,11,12,12,12
Wrestling,Greco-Roman,WRG,UWW,8,7,7,7,6,6,6
Total events,Total events,Total events,Total events,300,301,302,302,306,339,329
Total disciplines,Total disciplines,Total disciplines,Total disciplines,40,40,42,40,42,50,48
Total sports,Total sports,Total sports,Total sports,27,27,27,26,28,33,32
