Team,Year,Sport,Gold_Count,Silver_Count,Bronze_Count
AIN,2024,Rowing,0,1,0
AIN,2024,Tennis,0,1,0
AIN,2024,Trampoline Gymnastics,1,1,0
AIN,2024,Weightlifting,0,0,1
Afghanistan,2008,Taekwondo,0,0,1
Afghanistan,2012,Taekwondo,0,0,1
Albania,2024,Wrestling,0,0,2
Algeria,1992,Athletics,1,0,0
Algeria,1992,Boxing,0,0,1
Algeria,1996,Athletics,1,0,0
Algeria,1996,Boxing,1,0,1
Algeria,2000,Athletics,1,1,2
Algeria,2000,Boxing,0,0,1
Algeria,2008,Judo,0,1,1
Algeria,2012,Athletics,1,0,0
Algeria,2016,Athletics,0,2,0
Algeria,2024,Artistic Gymnastics,1,0,0
Algeria,2024,Athletics,0,0,1
Algeria,2024,Boxing,1,0,0
Argentina,1992,Tennis,0,0,1
Argentina,1996,Boxing,0,0,1
Argentina,1996,Football,0,1,0
Argentina,1996,Sailing,0,1,0
Argentina,2000,Hockey,0,1,0
Argentina,2000,Sailing,0,1,2
Argentina,2004,Basketball,1,0,0
Argentina,2004,Football,1,0,0
Argentina,2004,Hockey,0,0,1
Argentina,2004,Sailing,0,0,1
Argentina,2004,Swimming,0,0,1
Argentina,2004,Tennis,0,0,1
Argentina,2008,Basketball,0,0,1
Argentina,2008,Cycling,1,0,0
Argentina,2008,Football,1,0,0
Argentina,2008,Hockey,0,0,1
Argentina,2008,Judo,0,0,1
Argentina,2008,Sailing,0,0,1
Argentina,2012,Hockey,0,1,0
Argentina,2012,Sailing,0,0,1
Argentina,2012,Taekwondo,1,0,0
Argentina,2012,Tennis,0,0,1
Argentina,2016,Hockey,1,0,0
Argentina,2016,Judo,1,0,0
Argentina,2016,Sailing,1,0,0
Argentina,2016,Tennis,0,1,0
Argentina,2020,Hockey,0,1,0
Argentina,2020,Rugby Sevens,0,0,0
Argentina,2020,Volleyball,0,0,1
Argentina,2024,Cycling BMX Freestyle,1,0,0
Argentina,2024,Hockey,0,0,1
Argentina,2024,Sailing,0,1,0
Armenia,1996,Wrestling,1,1,0
Armenia,2000,Weightlifting,0,0,1
Armenia,2008,Boxing,0,0,1
Armenia,2008,Weightlifting,0,0,3
Armenia,2008,Wrestling,0,0,2
Armenia,2012,Weightlifting,0,0,1
Armenia,2012,Wrestling,0,1,1
Armenia,2016,Weightlifting,0,2,0
Armenia,2016,Wrestling,1,1,0
Armenia,2020,Artistic Gymnastics,0,0,1
Armenia,2020,Boxing,0,0,1
Armenia,2020,Weightlifting,0,1,0
Armenia,2020,Wrestling,0,1,0
Armenia,2024,Artistic Gymnastics,0,1,0
Armenia,2024,Weightlifting,0,1,0
Armenia,2024,Wrestling,0,1,1
Australia,1992,Athletics,0,0,2
Australia,1992,Canoeing,1,1,1
Australia,1992,Cycling,1,4,0
Australia,1992,Equestrianism,2,0,0
Australia,1992,Hockey,0,1,0
Australia,1992,Rowing,2,0,0
Australia,1992,Sailing,0,0,2
Australia,1992,Swimming,1,3,5
Australia,1992,Tennis,0,0,1
Australia,1996,Athletics,0,2,0
Australia,1996,Basketball,0,0,1
Australia,1996,Canoeing,0,0,3
Australia,1996,Cycling,0,1,4
Australia,1996,Equestrianism,1,0,0
Australia,1996,Hockey,1,0,1
Australia,1996,Rowing,2,1,3
Australia,1996,Sailing,0,1,1
Australia,1996,Shooting,2,0,1
Australia,1996,Softball,0,0,1
Australia,1996,Swimming,2,4,6
Australia,1996,Tennis,1,0,0
Australia,1996,Weightlifting,0,0,1
Australia,2000,Archery,1,0,0
Australia,2000,Athletics,1,2,0
Australia,2000,Basketball,0,1,0
Australia,2000,Canoeing,0,1,1
Australia,2000,Cycling,1,2,3
Australia,2000,Diving,0,0,2
Australia,2000,Equestrianism,1,1,0
Australia,2000,Hockey,1,0,1
Australia,2000,Judo,0,0,1
Australia,2000,Rowing,0,3,2
Australia,2000,Sailing,2,1,1
Australia,2000,Shooting,1,1,1
Australia,2000,Softball,0,0,1
Australia,2000,Swimming,5,9,4
Australia,2000,Taekwondo,1,1,0
Australia,2000,Tennis,0,1,0
Australia,2000,Trampolining,0,1,0
Australia,2000,Triathlon,0,1,0
Australia,2000,Water Polo,1,0,0
Australia,2004,Archery,0,0,1
Australia,2004,Athletics,0,1,2
Australia,2004,Baseball,0,1,0
Australia,2004,Basketball,0,1,0
Australia,2004,Canoeing,0,2,0
Australia,2004,Cycling,6,2,3
Australia,2004,Diving,1,1,4
Australia,2004,Hockey,1,0,0
Australia,2004,Rowing,1,1,2
Australia,2004,Shooting,1,0,1
Australia,2004,Softball,0,1,0
Australia,2004,Swimming,7,5,3
Australia,2004,Tennis,0,0,1
Australia,2004,Triathlon,0,1,0
Australia,2008,Athletics,1,2,1
Australia,2008,Basketball,0,1,0
Australia,2008,Canoeing,1,1,3
Australia,2008,Cycling,0,1,0
Australia,2008,Diving,1,1,0
Australia,2008,Equestrianism,0,1,0
Australia,2008,Hockey,0,0,1
Australia,2008,Rowing,2,1,0
Australia,2008,Sailing,2,1,0
Australia,2008,Shooting,0,0,1
Australia,2008,Softball,0,0,1
Australia,2008,Swimming,6,6,8
Australia,2008,Triathlon,1,0,1
Australia,2008,Water Polo,0,0,1
Australia,2012,Athletics,1,2,0
Australia,2012,Basketball,0,0,1
Australia,2012,Canoeing,1,1,0
Australia,2012,Cycling,1,2,3
Australia,2012,Diving,0,1,0
Australia,2012,Hockey,0,0,1
Australia,2012,Rowing,0,3,2
Australia,2012,Sailing,3,1,0
Australia,2012,Swimming,1,6,3
Australia,2012,Triathlon,0,0,1
Australia,2012,Water Polo,0,0,1
Australia,2016,Archery,0,0,1
Australia,2016,Athletics,0,1,1
Australia,2016,Canoeing,0,0,2
Australia,2016,Cycling,0,1,1
Australia,2016,Diving,0,0,1
Australia,2016,Equestrianism,0,0,1
Australia,2016,Modern Pentathlon,1,0,0
Australia,2016,Rowing,1,2,0
Australia,2016,Rugby Sevens,1,0,0
Australia,2016,Sailing,1,3,0
Australia,2016,Shooting,1,0,0
Australia,2016,Swimming,3,4,3
Australia,2020,Athletics,0,1,2
Australia,2020,Basketball,0,0,1
Australia,2020,Beach Volleyball,0,1,0
Australia,2020,Boxing,0,0,1
Australia,2020,Canoe Slalom,1,0,1
Australia,2020,Canoe Sprint,1,0,0
Australia,2020,Cycling BMX Freestyle,0,0,0
Australia,2020,Cycling Road,0,0,1
Australia,2020,Cycling Track,0,0,1
Australia,2020,Diving,0,0,1
Australia,2020,Equestrian,0,1,1
Australia,2020,Hockey,0,1,0
Australia,2020,Marathon Swimming,0,0,1
Australia,2020,Rowing,2,0,2
